run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,qpu_execution_sec,sdk_version,notes
2024-02-13,ionq,Harmony,00,4,1000,"{""00"": 958, ""10"": 11, ""01"": 10, ""11"": 21}",0.958,arn:aws:braket:us-east-1:835581428919:quantum-task/0020e43a-5a65-47ab-8f24-7e4b485076cd,2024-02-13T22:08:08.615Z,2024-04-03T12:38:27.513Z,,,
2024-02-13,ionq,Harmony,01,1,1000,"{""00"": 8, ""10"": 1, ""01"": 990, ""11"": 1}",0.99,arn:aws:braket:us-east-1:835581428919:quantum-task/007ee42d-1338-4c84-8c65-6647d37dead6,2024-02-13T22:03:23.153Z,2024-04-02T12:08:15.338Z,,,
2024-02-13,ionq,Harmony,01,3,1000,"{""00"": 40, ""10"": 879, ""01"": 23, ""11"": 58}",0.879,arn:aws:braket:us-east-1:835581428919:quantum-task/00b836d1-419e-4c49-97f7-6a9ee40980ac,2024-02-13T22:00:22.687Z,2024-03-30T21:51:42.304Z,,,
2024-02-13,ionq,Harmony,11,3,1000,"{""00"": 13, ""10"": 16, ""01"": 10, ""11"": 961}",0.961,arn:aws:braket:us-east-1:835581428919:quantum-task/00becc79-9cb4-4af1-ac8f-353e44d6ad3a,2024-02-13T22:06:24.325Z,2024-04-03T00:54:10.115Z,,,
2024-02-13,ionq,Harmony,11,5,1000,"{""00"": 33, ""10"": 15, ""01"": 944, ""11"": 8}",0.944,arn:aws:braket:us-east-1:835581428919:quantum-task/01236184-e71d-47a3-ac18-891ac0fcbed0,2024-02-13T22:06:00.870Z,2024-04-02T17:58:13.985Z,,,
2024-02-13,ionq,Harmony,11,3,1000,"{""00"": 14, ""10"": 11, ""01"": 7, ""11"": 968}",0.968,arn:aws:braket:us-east-1:835581428919:quantum-task/01a44cd9-69ef-41be-9232-526c0247e435,2024-02-13T22:03:08.085Z,2024-04-01T15:48:01.357Z,,,
2024-02-13,ionq,Harmony,10,4,1000,"{""00"": 14, ""10"": 14, ""01"": 16, ""11"": 956}",0.956,arn:aws:braket:us-east-1:835581428919:quantum-task/01d84829-8cf4-421b-a0ed-429fcde920a8,2024-02-13T22:05:17.722Z,2024-04-02T12:58:02.093Z,,,
2024-02-13,ionq,Harmony,01,5,1000,"{""00"": 13, ""10"": 36, ""01"": 14, ""11"": 937}",0.937,arn:aws:braket:us-east-1:835581428919:quantum-task/01ee4a77-ab7e-4e5e-9470-1efa6dcef3ef,2024-02-13T22:08:40.896Z,2024-04-03T18:22:45.162Z,,,
2024-02-13,ionq,Harmony,01,1,1000,"{""00"": 12, ""01"": 985, ""11"": 3}",0.985,arn:aws:braket:us-east-1:835581428919:quantum-task/0263a44b-a8cc-4115-9a51-163fb7fa0a9e,2024-02-13T22:02:44.462Z,2024-04-01T07:55:56.498Z,,,
2024-02-13,ionq,Harmony,11,1,1000,"{""00"": 12, ""10"": 975, ""11"": 13}",0.975,arn:aws:braket:us-east-1:835581428919:quantum-task/026beba3-76e6-46f7-b80d-fb46a2c5bb1e,2024-02-13T22:00:20.983Z,2024-03-30T20:03:13.006Z,,,
2024-02-13,ionq,Harmony,00,5,1000,"{""00"": 914, ""10"": 17, ""01"": 37, ""11"": 32}",0.914,arn:aws:braket:us-east-1:835581428919:quantum-task/027e5a10-c669-412c-a5e6-65affebfebf6,2024-02-13T22:07:28.282Z,2024-04-03T07:58:46.241Z,,,
2024-02-13,ionq,Harmony,00,3,1000,"{""00"": 949, ""10"": 18, ""01"": 17, ""11"": 16}",0.949,arn:aws:braket:us-east-1:835581428919:quantum-task/0283fd93-f3d4-4ac0-bb11-e9f0b3d6825c,2024-02-13T22:06:36.405Z,2024-04-03T01:53:21.028Z,,,
2024-02-13,ionq,Harmony,00,2,1000,"{""00"": 971, ""10"": 13, ""01"": 6, ""11"": 10}",0.971,arn:aws:braket:us-east-1:835581428919:quantum-task/02970bed-8574-493c-9b55-74eb7a99eedd,2024-02-13T22:08:23.248Z,2024-04-03T13:07:59.321Z,,,
2024-02-13,ionq,Harmony,11,4,1000,"{""00"": 27, ""10"": 3, ""01"": 945, ""11"": 25}",0.945,arn:aws:braket:us-east-1:835581428919:quantum-task/03172458-9b85-47ff-9036-daad6ae630ea,2024-02-13T22:05:55.938Z,2024-04-02T17:19:08.349Z,,,
2024-02-13,ionq,Harmony,00,6,1000,"{""00"": 917, ""10"": 27, ""01"": 21, ""11"": 35}",0.917,arn:aws:braket:us-east-1:835581428919:quantum-task/03410972-5df4-4ffa-9736-f83ab37834f0,2024-02-13T22:08:26.543Z,2024-04-03T13:40:58.830Z,,,
2024-02-13,ionq,Harmony,01,1,1000,"{""00"": 18, ""10"": 1, ""01"": 979, ""11"": 2}",0.979,arn:aws:braket:us-east-1:835581428919:quantum-task/036b2dee-3549-489d-a525-97e3c13b2371,2024-02-13T22:02:54.897Z,2024-04-01T14:54:17.872Z,,,
2024-02-13,ionq,Harmony,01,3,1000,"{""00"": 16, ""10"": 955, ""01"": 14, ""11"": 15}",0.955,arn:aws:braket:us-east-1:835581428919:quantum-task/03954ca7-33ca-48b4-8110-30df38e521d5,2024-02-13T22:07:16.418Z,2024-04-03T07:13:39.178Z,,,
2024-02-13,ionq,Harmony,01,3,1000,"{""00"": 15, ""10"": 963, ""01"": 10, ""11"": 12}",0.963,arn:aws:braket:us-east-1:835581428919:quantum-task/03c48a6a-edc1-4168-b18c-2a5547e6dab8,2024-02-13T22:00:19.813Z,2024-03-30T19:39:13.852Z,,,
2024-02-13,ionq,Harmony,11,1,1000,"{""00"": 11, ""10"": 979, ""01"": 2, ""11"": 8}",0.979,arn:aws:braket:us-east-1:835581428919:quantum-task/040e4dc7-edbc-49f0-9fc5-c625a290a01f,2024-02-13T22:03:21.069Z,2024-04-02T12:04:37.807Z,,,
2024-02-13,ionq,Harmony,11,5,1000,"{""00"": 38, ""10"": 35, ""01"": 895, ""11"": 32}",0.895,arn:aws:braket:us-east-1:835581428919:quantum-task/043f8a6e-e6bf-47fe-881b-ef7f575e74ca,2024-02-13T22:03:24.018Z,2024-04-02T12:09:13.744Z,,,
2024-02-13,ionq,Harmony,11,3,1000,"{""00"": 9, ""10"": 14, ""01"": 17, ""11"": 960}",0.96,arn:aws:braket:us-east-1:835581428919:quantum-task/046ce2e8-1322-46f1-a471-f686474e5012,2024-02-13T22:06:50.837Z,2024-04-03T02:35:35.104Z,,,
