run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,qpu_execution_sec,sdk_version,notes
2026-08-15,ionq_braket,Forte 1,01,1,100,"{""01"": 100}",1.0,arn:aws:braket:us-east-1:835581428919:quantum-task/ddb14cc2-7259-4f84-9476-5f6cffa4cde9,2026-08-15T10:40:40.548Z,2026-08-15T10:43:38.755Z,,1.114.0,
2026-08-15,ionq_braket,Forte 1,10,2,100,"{""01"": 100}",1.0,arn:aws:braket:us-east-1:835581428919:quantum-task/fadff486-03a1-4f10-b27c-4bf0124eb843,2026-08-15T10:40:40.852Z,2026-08-15T10:43:40.864Z,,1.114.0,
2026-08-15,ionq_braket,Forte 1,10,3,100,"{""01"": 100}",1.0,arn:aws:braket:us-east-1:835581428919:quantum-task/c88267a3-be9e-4d9a-bde2-a242ad302e88,2026-08-15T10:40:41.114Z,2026-08-15T10:43:42.718Z,,1.114.0,
2026-08-15,ionq_braket,Forte 1,11,4,100,"{""01"": 99, ""11"": 1}",0.99,arn:aws:braket:us-east-1:835581428919:quantum-task/ff2d440e-a684-4cc6-a6cb-b3fc670f1cb3,2026-08-15T10:40:41.351Z,2026-08-15T10:43:47.713Z,,1.114.0,
2026-08-15,ionq_braket,Forte 1,11,5,100,"{""01"": 100}",1.0,arn:aws:braket:us-east-1:835581428919:quantum-task/bb7bf58e-0e8b-47b8-ac85-955817fa9a6e,2026-08-15T10:40:41.630Z,2026-08-15T10:43:41.713Z,,1.114.0,
2026-08-15,ionq_braket,Forte 1,00,6,100,"{""00"": 100}",1.0,arn:aws:braket:us-east-1:835581428919:quantum-task/0bd76f93-641c-4257-9be5-9d02393ff751,2026-08-15T10:40:41.879Z,2026-08-15T10:43:44.755Z,,1.114.0,
2026-08-15,ionq_braket,Forte 1,11,5,100,"{""01"": 99, ""11"": 1}",0.99,arn:aws:braket:us-east-1:835581428919:quantum-task/014966d5-5dbe-422a-8a5a-40a613b2fad2,2026-08-15T10:40:42.118Z,2026-08-15T10:43:46.742Z,,1.114.0,
2026-08-15,ionq_braket,Forte 1,00,4,100,"{""00"": 100}",1.0,arn:aws:braket:us-east-1:835581428919:quantum-task/43045330-f969-434f-94c5-c2e594ed0f44,2026-08-15T10:40:42.409Z,2026-08-15T10:43:49.731Z,,1.114.0,
2026-08-15,ionq_braket,Forte 1,00,5,100,"{""00"": 100}",1.0,arn:aws:braket:us-east-1:835581428919:quantum-task/a37a81a7-14cf-472f-9c38-d101c96aeed9,2026-08-15T10:40:42.655Z,2026-08-15T10:43:50.754Z,,1.114.0,
2026-08-15,ionq_braket,Forte 1,01,1,100,"{""01"": 100}",1.0,arn:aws:braket:us-east-1:835581428919:quantum-task/a38a13fb-9172-416d-973c-d9d953aa3e12,2026-08-15T10:40:42.924Z,2026-08-15T10:43:52.728Z,,1.114.0,
