run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,sdk_version,notes
2025-10-24,rigetti,Ankaa-3,11,5,100,"{""01"": 92, ""10"": 3, ""00"": 2, ""11"": 3}",0.92,arn:aws:braket:us-west-1:835581428919:quantum-task/04d5756d-a3e4-4195-9bd6-b6fff714585b,2025-10-24T18:05:23.468Z,2025-10-24T18:05:24.053Z,,
2025-10-24,rigetti,Ankaa-3,00,5,100,"{""00"": 92, ""01"": 6, ""10"": 2}",0.92,arn:aws:braket:us-west-1:835581428919:quantum-task/053a1742-e485-4501-959c-f8d04f11e8a1,2025-10-24T18:05:18.578Z,2025-10-24T18:05:19.210Z,,
2025-10-24,rigetti,Ankaa-3,01,4,100,"{""10"": 93, ""00"": 3, ""11"": 4}",0.93,arn:aws:braket:us-west-1:835581428919:quantum-task/082474f7-6822-46b6-9f34-81ab5a6be901,2025-10-24T18:05:26.015Z,2025-10-24T18:05:26.669Z,,
2025-10-24,rigetti,Ankaa-3,00,4,100,"{""00"": 98, ""01"": 2}",0.98,arn:aws:braket:us-west-1:835581428919:quantum-task/0862dc0e-cca9-40b9-8887-48d068e02e4b,2025-10-24T18:05:17.670Z,2025-10-24T18:05:18.921Z,,
2025-10-24,rigetti,Ankaa-3,10,2,100,"{""01"": 94, ""00"": 4, ""11"": 2}",0.94,arn:aws:braket:us-west-1:835581428919:quantum-task/0cca67a5-9b75-4282-b44c-299f9a43fb95,2025-10-24T18:05:14.101Z,2025-10-24T18:05:14.717Z,,
2025-10-24,rigetti,Ankaa-3,01,3,100,"{""10"": 85, ""00"": 11, ""11"": 4}",0.85,arn:aws:braket:us-west-1:835581428919:quantum-task/115136f8-91f5-4086-a731-7ddf3e558ebd,2025-10-24T18:05:21.314Z,2025-10-24T18:05:22.012Z,,
2025-10-24,rigetti,Ankaa-3,11,6,100,"{""11"": 94, ""10"": 5, ""00"": 1}",0.94,arn:aws:braket:us-west-1:835581428919:quantum-task/12f4f469-c66f-45d0-9f49-81c794fe39e3,2025-10-24T18:05:08.981Z,2025-10-24T18:05:09.621Z,,
2025-10-24,rigetti,Ankaa-3,00,5,100,"{""00"": 95, ""10"": 3, ""01"": 2}",0.95,arn:aws:braket:us-west-1:835581428919:quantum-task/139cb743-e351-455f-9b97-b2aff3f22a86,2025-10-24T18:05:14.868Z,2025-10-24T18:05:16.068Z,,
2025-10-24,rigetti,Ankaa-3,01,2,100,"{""11"": 93, ""10"": 4, ""01"": 3}",0.93,arn:aws:braket:us-west-1:835581428919:quantum-task/13be82ea-f959-4f1c-892f-741e9c2ceb5b,2025-10-24T18:05:20.609Z,2025-10-24T18:05:21.391Z,,
2025-10-24,rigetti,Ankaa-3,01,2,100,"{""11"": 90, ""00"": 1, ""10"": 3, ""01"": 6}",0.9,arn:aws:braket:us-west-1:835581428919:quantum-task/13c88efe-a281-4397-8e08-65fee990f80e,2025-10-24T18:03:53.841Z,2025-10-24T18:03:59.286Z,,
2025-10-24,rigetti,Ankaa-3,00,5,100,"{""00"": 95, ""10"": 4, ""01"": 1}",0.95,arn:aws:braket:us-west-1:835581428919:quantum-task/14b3ae2c-6f91-4074-9eca-989cae77f7ff,2025-10-24T18:05:15.500Z,2025-10-24T18:05:16.313Z,,
2025-10-24,rigetti,Ankaa-3,11,5,100,"{""01"": 89, ""10"": 2, ""00"": 5, ""11"": 4}",0.89,arn:aws:braket:us-west-1:835581428919:quantum-task/18c4c530-ed79-474a-aa66-0621ac408560,2025-10-24T18:05:11.320Z,2025-10-24T18:05:12.005Z,,
2025-10-24,rigetti,Ankaa-3,01,1,100,"{""01"": 93, ""00"": 5, ""11"": 2}",0.93,arn:aws:braket:us-west-1:835581428919:quantum-task/18f3c697-9507-400a-92a8-b683309f6a79,2025-10-24T18:05:15.070Z,2025-10-24T18:05:16.179Z,,
2025-10-24,rigetti,Ankaa-3,10,6,100,"{""10"": 93, ""11"": 2, ""00"": 5}",0.93,arn:aws:braket:us-west-1:835581428919:quantum-task/1a539444-ad18-4b7b-9bc3-b75c5d8f2b06,2025-10-24T18:05:10.541Z,2025-10-24T18:05:11.220Z,,
2025-10-24,rigetti,Ankaa-3,00,5,100,"{""00"": 94, ""01"": 3, ""10"": 3}",0.94,arn:aws:braket:us-west-1:835581428919:quantum-task/1aa23275-9dd0-41ba-bc19-15afe8c97672,2025-10-24T18:05:16.656Z,2025-10-24T18:05:17.236Z,,
2025-10-24,rigetti,Ankaa-3,00,5,100,"{""00"": 97, ""10"": 1, ""01"": 1, ""11"": 1}",0.97,arn:aws:braket:us-west-1:835581428919:quantum-task/21ce185f-8a43-4269-b4cc-2322a4537a00,2025-10-24T18:05:03.591Z,2025-10-24T18:05:06.458Z,,
2025-10-24,rigetti,Ankaa-3,11,6,100,"{""10"": 4, ""11"": 91, ""01"": 5}",0.91,arn:aws:braket:us-west-1:835581428919:quantum-task/21ec38bd-774f-4bc8-8056-d75e169135b1,2025-10-24T18:03:54.529Z,2025-10-24T18:03:59.306Z,,
2025-10-24,rigetti,Ankaa-3,01,5,100,"{""01"": 9, ""11"": 85, ""10"": 4, ""00"": 2}",0.85,arn:aws:braket:us-west-1:835581428919:quantum-task/23d13486-b0ea-483d-999e-652af89e53d6,2025-10-24T18:05:25.326Z,2025-10-24T18:05:26.564Z,,
2025-10-24,rigetti,Ankaa-3,11,3,100,"{""11"": 86, ""10"": 8, ""01"": 6}",0.86,arn:aws:braket:us-west-1:835581428919:quantum-task/24178482-4b45-4dc8-b177-02b3abc220ef,2025-10-24T18:05:10.960Z,2025-10-24T18:05:11.542Z,,
2025-10-24,rigetti,Ankaa-3,11,5,100,"{""01"": 92, ""11"": 4, ""10"": 3, ""00"": 1}",0.92,arn:aws:braket:us-west-1:835581428919:quantum-task/283bfbde-8262-4b87-a65f-d09fe0e99fe9,2025-10-24T18:05:26.656Z,2025-10-24T18:05:27.277Z,,
2025-10-24,rigetti,Ankaa-3,10,5,100,"{""10"": 90, ""00"": 4, ""01"": 1, ""11"": 5}",0.9,arn:aws:braket:us-west-1:835581428919:quantum-task/2a86be18-4875-4722-926d-351e59bb3669,2025-10-24T18:05:05.134Z,2025-10-24T18:05:06.510Z,,
2025-10-24,rigetti,Ankaa-3,00,1,100,"{""00"": 91, ""10"": 6, ""01"": 3}",0.91,arn:aws:braket:us-west-1:835581428919:quantum-task/2e96e156-81ee-483a-8c2d-f445859e3fb5,2025-10-24T18:05:19.202Z,2025-10-24T18:05:19.806Z,,
2025-10-24,rigetti,Ankaa-3,00,5,100,"{""00"": 91, ""10"": 6, ""01"": 2, ""11"": 1}",0.91,arn:aws:braket:us-west-1:835581428919:quantum-task/305dcc3c-196c-4074-962e-fd918b7fe850,2025-10-24T18:05:09.191Z,2025-10-24T18:05:09.825Z,,
2025-10-24,rigetti,Ankaa-3,00,3,100,"{""00"": 95, ""01"": 1, ""10"": 4}",0.95,arn:aws:braket:us-west-1:835581428919:quantum-task/320539d6-85eb-4b5f-ab25-166a67162a1f,2025-10-24T18:05:18.779Z,2025-10-24T18:05:19.450Z,,
