run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,qpu_execution_sec,sdk_version,notes
2024-02-13,unknown,sv1,01,6,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/07074409-31c5-4500-ab16-3d8dcd94ad98,2024-02-13T22:04:26.199Z,2024-02-13T22:04:27.689Z,,,
2024-02-13,unknown,sv1,01,4,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/0c980d86-6922-4733-b419-d5b3b792eff2,2024-02-13T22:04:20.989Z,2024-02-13T22:04:22.286Z,,,
2024-02-13,unknown,sv1,00,2,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/0d44cf10-eaf2-4a6e-b148-9669e71fc812,2024-02-13T22:03:59.934Z,2024-02-13T22:04:01.514Z,,,
2024-02-13,unknown,sv1,10,2,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/1108cbef-21b6-4611-968a-26d8fbb0278b,2024-02-13T22:04:31.404Z,2024-02-13T22:04:33.347Z,,,
2024-02-13,unknown,sv1,11,5,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/14bd8ab2-0fc9-4355-bbc9-dd9f6285d89b,2024-02-13T22:04:55.014Z,2024-02-13T22:04:56.329Z,,,
2024-02-13,unknown,sv1,00,1,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/18a6d2bb-62f4-4bb4-abbf-bafa3c9e300f,2024-02-13T21:41:16.969Z,2024-02-13T21:41:18.576Z,,,
2024-02-13,unknown,sv1,10,5,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/19dec4a3-7df4-46c9-b26d-6864a4e1abc0,2024-02-13T22:04:39.559Z,2024-02-13T22:04:41.012Z,,,
2024-02-13,unknown,sv1,11,6,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/1aa97f6f-8de7-4e50-828f-b66605146756,2024-02-13T22:04:57.630Z,2024-02-13T22:04:59.610Z,,,
2024-02-13,unknown,sv1,00,6,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/1eb13605-0cf4-4599-bf80-3493dd27147d,2024-02-13T22:04:10.432Z,2024-02-13T22:04:12.352Z,,,
2024-02-13,unknown,sv1,11,1,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/20b4f3a4-09c4-44a7-bb42-11038282fd4d,2024-02-13T21:57:52.121Z,2024-02-13T21:57:53.493Z,,,
2024-02-13,unknown,sv1,11,5,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/234bba43-6f66-4870-8a4d-3fc409a274ec,2024-02-13T21:58:02.653Z,2024-02-13T21:58:04.212Z,,,
2024-02-13,unknown,sv1,10,6,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/2bfc6d2d-b71f-4e81-a735-042b7c22655a,2024-02-13T21:57:49.518Z,2024-02-13T21:57:50.909Z,,,
2024-02-13,unknown,sv1,00,2,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/30764152-6223-4285-b76c-5d2380806360,2024-02-13T21:57:07.215Z,2024-02-13T21:57:08.596Z,,,
2024-02-13,unknown,sv1,10,3,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/35b71a20-106e-4e58-8025-2a4fe45928ec,2024-02-13T22:04:34.090Z,2024-02-13T22:04:36.049Z,,,
2024-02-13,unknown,sv1,00,5,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/3b14761c-9bee-434c-b4e2-659be88a3a0f,2024-02-13T22:04:07.824Z,2024-02-13T22:04:09.424Z,,,
2024-02-13,unknown,sv1,10,5,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/405d450c-e5ee-4e9c-9b7e-07467452977f,2024-02-13T21:57:46.950Z,2024-02-13T21:57:48.015Z,,,
2024-02-13,unknown,sv1,01,2,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/48429bf8-6351-4719-9126-ffacf12b7463,2024-02-13T21:57:23.468Z,2024-02-13T21:57:24.570Z,,,
2024-02-13,unknown,sv1,00,1,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/4860e838-d850-4b57-bce2-77e98fb2540b,2024-02-13T22:03:57.186Z,2024-02-13T22:03:58.769Z,,,
2024-02-13,unknown,sv1,11,4,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/4a581727-3cb6-4a40-a011-cce35d756f89,2024-02-13T21:58:00.072Z,2024-02-13T21:58:01.224Z,,,
2024-02-13,unknown,sv1,10,1,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/4ab52bb7-e5c7-4972-8b3b-48d733501bb9,2024-02-13T22:04:28.791Z,2024-02-13T22:04:30.342Z,,,
2024-02-13,unknown,sv1,00,1,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/50d2ed3a-276a-40d5-b94b-a7ed110c351d,2024-02-13T21:57:04.527Z,2024-02-13T21:57:06.089Z,,,
2024-02-13,unknown,sv1,10,4,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/5939b552-4d32-4db2-974e-8a3978d33adb,2024-02-13T22:04:36.788Z,2024-02-13T22:04:38.394Z,,,
2024-02-13,unknown,sv1,10,6,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/5bd413e9-6893-4b30-a13e-e8078ebe6576,2024-02-13T22:04:42.087Z,2024-02-13T22:04:43.268Z,,,
2024-02-13,unknown,sv1,01,5,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/5da204fa-e1dd-475a-9fdf-65f0aada9d55,2024-02-13T22:04:23.613Z,2024-02-13T22:04:25.287Z,,,
2024-02-13,unknown,sv1,00,4,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/6b74232d-7249-4ba4-8915-ba684a07801f,2024-02-13T22:04:05.135Z,2024-02-13T22:04:06.908Z,,,
2024-02-13,unknown,sv1,01,2,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/72af20f1-378e-45f9-8f48-3e671ea6a05b,2024-02-13T22:04:15.798Z,2024-02-13T22:04:17.178Z,,,
2024-02-13,unknown,sv1,10,3,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/78e91b01-f9f7-4d6f-a61f-9f4715795e85,2024-02-13T21:57:41.761Z,2024-02-13T21:57:43.391Z,,,
2024-02-13,unknown,sv1,11,6,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/794b9a79-8247-46dc-8093-702f606edaa7,2024-02-13T21:58:05.369Z,2024-02-13T21:58:06.916Z,,,
2024-02-13,unknown,sv1,00,6,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/7db3a83d-6127-40c1-9706-f1f8ccf88b2e,2024-02-13T21:57:18.131Z,2024-02-13T21:57:19.791Z,,,
2024-02-13,unknown,sv1,11,3,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/7e90b046-ddfe-4fe1-b70e-b04550f76975,2024-02-13T21:57:57.432Z,2024-02-13T21:57:58.870Z,,,
2024-02-13,unknown,sv1,01,1,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/90ca7ba4-243f-495b-9cc4-d3b71660cf0a,2024-02-13T22:04:13.165Z,2024-02-13T22:04:14.709Z,,,
2024-02-13,unknown,sv1,00,1,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/972852b6-b2bf-45de-bf07-1481e5f2a574,2024-02-13T21:55:44.519Z,2024-02-13T21:55:46.031Z,,,
2024-02-13,unknown,sv1,11,2,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/99792d21-c5f7-4b45-a638-78ffa2c70855,2024-02-13T21:57:54.706Z,2024-02-13T21:57:56.426Z,,,
2024-02-13,unknown,sv1,01,3,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/997d67ed-d611-468e-8658-ac5794394fd9,2024-02-13T21:57:26.044Z,2024-02-13T21:57:27.532Z,,,
2024-02-13,unknown,sv1,11,1,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/9ac2dcd8-b9ce-4912-9f9c-da834be2ab94,2024-02-13T22:04:44.632Z,2024-02-13T22:04:46.013Z,,,
2024-02-13,unknown,sv1,01,5,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/a11c778d-9fbe-48d0-a874-ef9c3d4736a8,2024-02-13T21:57:31.281Z,2024-02-13T21:57:32.752Z,,,
2024-02-13,unknown,sv1,00,3,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/ab10fc59-e9d1-4811-a7e0-a0e96a65e70a,2024-02-13T22:04:02.540Z,2024-02-13T22:04:03.974Z,,,
2024-02-13,unknown,sv1,11,4,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/abf4dae5-2380-47bf-87c8-920155f4f1dc,2024-02-13T22:04:52.420Z,2024-02-13T22:04:53.804Z,,,
2024-02-13,unknown,sv1,01,3,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/c16c3edc-459f-4388-a9fd-c08c10cea970,2024-02-13T22:04:18.378Z,2024-02-13T22:04:19.663Z,,,
2024-02-13,unknown,sv1,10,2,1,"{""01"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/c521686b-2206-4673-8f0f-807d3f021c63,2024-02-13T21:57:39.197Z,2024-02-13T21:57:40.817Z,,,
2024-02-13,unknown,sv1,00,4,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/c5ead6bd-202e-44e9-b0e3-3577831645b4,2024-02-13T21:57:12.433Z,2024-02-13T21:57:13.770Z,,,
2024-02-13,unknown,sv1,10,4,1,"{""11"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/cdb259bd-df4b-432c-baeb-bae547b0a144,2024-02-13T21:57:44.369Z,2024-02-13T21:57:45.911Z,,,
2024-02-13,unknown,sv1,00,1,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/cf3fd3dd-290d-40e2-a043-567bf1283288,2024-02-13T21:51:07.181Z,2024-02-13T21:51:08.576Z,,,
2024-02-13,unknown,sv1,01,4,1,"{""10"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/d6164197-b18f-4044-b7da-018be7c9366d,2024-02-13T21:57:28.635Z,2024-02-13T21:57:30.237Z,,,
2024-02-13,unknown,sv1,00,1,1,"{""00"": 1}",1.0,arn:aws:braket:us-west-2:835581428919:quantum-task/de68ae60-1244-45a4-8dbb-4546b2d5718f,2024-02-13T21:52:17.554Z,2024-02-13T21:52:19.438Z,,,
